Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received
38474,28678,45201,28678,allow,1806,1806,0,22,224.0,22,0
55130,53,9076,53,allow,216,110,106,2,31.0,1,1
53875,443,27415,443,allow,499,425,74,4,1.0,3,1
49296,443,32357,443,allow,50454,5259,45195,52,105.0,17,35
52410,443,38111,443,allow,128802,48896,79906,237,24.0,121,116
51725,56205,0,0,deny,62,62,0,1,0.0,1,0
51393,443,1567,443,allow,4721,2724,1997,35,130.0,19,16
64396,53,1161,53,allow,211,102,109,2,30.0,1,1
34373,28678,41304,28678,allow,1806,1806,0,22,224.0,22,0
49462,445,0,0,drop,66,66,0,1,0.0,1,0
51221,51413,63036,51413,allow,459,149,310,2,1200.0,1,1
60432,443,46333,443,allow,4355,2135,2220,15,136.0,7,8
56290,53,40983,53,allow,716,95,621,2,31.0,1,1
10006,64147,0,0,deny,62,62,0,1,0.0,1,0
49825,53,31559,53,allow,168,86,82,2,29.0,1,1
65428,53,61145,53,allow,195,102,93,2,30.0,1,1
51008,80,51008,80,allow,114613,6365,108248,134,26.0,51,83
63002,22114,0,0,deny,66,66,0,1,0.0,1,0
57413,443,19121,443,allow,16749,7614,9135,74,17.0,34,40
50791,53,50791,53,allow,231,90,141,2,30.0,1,1
35005,53,35005,53,allow,233,90,143,2,33.0,1,1
6666,3389,0,0,deny,60,60,0,1,0.0,1,0
45414,80,30413,80,allow,2873,753,2120,12,15.0,7,5
63078,53,5697,53,allow,304,86,218,2,30.0,1,1
55417,53,4838,53,allow,199,102,97,2,30.0,1,1
53577,445,0,0,drop,66,66,0,1,0.0,1,0
44884,443,19838,443,allow,36435,28844,7591,65,396.0,35,30
63980,443,5737,443,allow,5237,2844,2393,14,135.0,7,7
60959,443,46440,443,allow,17149,2543,14606,40,46.0,22,18
24504,37965,0,0,deny,62,62,0,1,0.0,1,0
55018,53,31411,53,allow,174,89,85,2,30.0,1,1
53110,8830,57205,8830,allow,70,70,0,1,5.0,1,0
64872,53,21895,53,allow,166,86,80,2,31.0,1,1
58638,5900,0,0,deny,62,62,0,1,0.0,1,0
35797,443,35797,443,allow,4378,1471,2907,19,27.0,11,8
51104,13011,33495,13011,allow,948,473,475,13,15.0,7,6
60196,80,43098,80,allow,70,70,0,2,8.0,2,0
17408,8497,0,0,deny,148,148,0,1,0.0,1,0
27005,27015,45770,27015,allow,874,126,748,2,30.0,1,1
56409,443,57180,443,allow,25302,1733,23569,35,121.0,16,19
56951,53,51481,53,allow,250,86,164,4,31.0,2,2
48219,55442,0,0,deny,66,66,0,1,0.0,1,0
38672,443,23620,443,allow,4478,1133,3345,13,35.0,8,5
36414,80,15964,80,allow,5046,4132,914,31,15.0,16,15
55337,53,41001,53,allow,198,102,96,2,29.0,1,1
56656,445,0,0,drop,66,66,0,1,0.0,1,0
64992,53,64992,53,allow,180,82,98,2,30.0,1,1
55545,53,22001,53,allow,177,94,83,2,30.0,1,1
37965,8999,11644,8999,allow,402,132,270,6,1208.0,3,3
53567,64147,0,0,deny,66,66,0,1,0.0,1,0
53125,443,2099,443,allow,7738,2230,5508,24,45.0,14,10
61417,80,18297,80,allow,214,140,74,4,55.0,3,1
41972,5222,18449,5222,allow,5709,2977,2732,62,621.0,31,31
60260,22114,0,0,deny,62,62,0,1,0.0,1,0
61066,53,0,0,allow,283,78,205,2,29.0,1,1
46726,53,27470,53,allow,168,78,90,2,30.0,1,1
49790,53,34832,53,allow,195,102,93,2,30.0,1,1
55386,445,0,0,drop,70,70,0,1,0.0,1,0
51453,80,39611,80,allow,214,140,74,4,15.0,3,1
52070,80,56531,80,allow,3572,2746,826,14,15.0,8,6
44032,161,0,0,allow,4491,2143,2348,24,30.0,12,12
33215,37965,0,0,deny,62,62,0,1,0.0,1,0
64947,53,23514,53,allow,275,96,179,4,41.0,2,2
7968,53,7968,53,allow,407,261,146,3,32.0,2,1
55388,53,60267,53,allow,170,87,83,2,31.0,1,1
48016,57470,0,0,deny,62,62,0,1,0.0,1,0
55826,53,22161,53,allow,168,86,82,2,30.0,1,1
59930,80,22245,80,allow,1638,1324,314,10,15.0,5,5
63914,32805,62469,32805,allow,66,66,0,2,8.0,2,0
55553,37965,0,0,deny,66,66,0,1,0.0,1,0
60393,443,31011,443,allow,8049,1805,6244,23,81.0,12,11
44014,53,29782,53,allow,199,94,105,2,30.0,1,1
49707,53,6726,53,allow,733,85,648,2,31.0,1,1
54955,445,0,0,drop,70,70,0,1,0.0,1,0
50913,80,46319,80,allow,12767608,157856,12609752,11936,135.0,2227,9709
27005,27027,61298,27027,allow,880,126,754,2,31.0,1,1
49632,443,26348,443,allow,3618,961,2657,13,121.0,6,7
3978,35440,0,0,deny,62,62,0,1,0.0,1,0
64899,53,5067,53,allow,199,102,97,2,31.0,1,1
57150,53,36180,53,allow,177,94,83,2,30.0,1,1
37148,53,21111,53,allow,164,78,86,2,30.0,1,1
64067,445,0,0,drop,70,70,0,1,0.0,1,0
51770,37237,29637,37237,allow,316,136,180,6,6.0,3,3
36533,443,27150,443,allow,10488,4495,5993,38,32.0,20,18
50130,53,58704,53,allow,183,94,89,2,29.0,1,1
54011,44847,0,0,deny,66,66,0,1,0.0,1,0
60412,80,59747,80,allow,958,543,415,11,315.0,6,5
59595,80,6644,80,allow,1052,612,440,10,15.0,5,5
64081,59517,43134,59517,allow,504,382,122,8,16.0,6,2
50297,445,0,0,drop,66,66,0,1,0.0,1,0
50479,80,2241,80,allow,312,192,120,6,25.0,4,2
53263,443,15903,443,allow,14269,5761,8508,43,18.0,23,20
59983,443,26904,443,allow,296863,14073,282790,351,127.0,130,221
58638,5900,0,0,deny,62,62,0,1,0.0,1,0
49991,80,45821,80,allow,2668,543,2125,12,28.0,6,6
52200,42430,1127,42430,allow,70,70,0,1,5.0,1,0
50057,80,26007,80,allow,1570,754,816,10,16.0,6,4
53366,445,0,0,drop,66,66,0,1,0.0,1,0
57409,443,54706,443,allow,1054,567,487,10,15.0,6,4
52145,36670,58227,36670,allow,316,136,180,6,6.0,3,3
50584,8569,42866,8569,allow,1356,300,1056,6,1200.0,3,3
