source_ip,window_start,first_seen,last_seen,connection_count,failed_login_count,auth_failure_count,invalid_user_count,accepted_login_count,command_count,suspicious_command_count,unique_users,unique_passwords,source_port_count,failure_rate,invalid_user_rate,commands_per_accepted,success_after_fail,burst_score,pseudo_label,pseudo_reason
0.136.195.152,2013-12-05 22:20:00,2013-12-05 22:28:07,2013-12-05 22:28:31,4,3,0,0,0,0,0,2,2,4,1.0,0.0,0.0,0.0,7.0,0,low_activity
0.136.195.152,2013-12-05 22:30:00,2013-12-05 22:30:17,2013-12-05 22:32:42,6,4,0,0,0,0,0,1,2,6,1.0,0.0,0.0,0.0,4.137931034482759,0,low_activity
0.211.44.106,2013-11-19 20:10:00,2013-11-19 20:14:27,2013-11-19 20:19:58,7,2,0,0,0,0,0,2,2,7,1.0,0.0,0.0,0.0,1.6314199395770392,0,low_activity
0.211.44.106,2013-11-19 20:20:00,2013-11-19 20:20:02,2013-11-19 20:22:55,4,1,0,0,0,0,0,1,1,5,1.0,0.0,0.0,0.0,1.7341040462427746,0,low_activity
0.213.146.122,2013-12-18 03:50:00,2013-12-18 03:54:03,2013-12-18 03:59:59,173,207,44,72,0,0,0,25,20,217,1.0,0.25806451612903225,0.0,0.0,64.04494382022472,1,brute_force+user_enumeration+connection_burst
0.213.146.122,2013-12-18 04:00:00,2013-12-18 04:00:00,2013-12-18 04:09:59,487,608,123,190,0,0,0,52,12,610,1.0,0.23809523809523808,0.0,0.0,109.68280467445744,1,brute_force+user_enumeration+connection_burst
0.213.146.122,2013-12-18 04:10:00,2013-12-18 04:10:00,2013-12-18 04:12:26,73,73,0,0,0,0,0,12,6,74,1.0,0.0,0.0,0.0,60.00000000000001,1,brute_force+user_enumeration+connection_burst
0.213.189.203,2013-11-26 01:10:00,2013-11-26 01:15:22,2013-11-26 01:19:10,8,82,2,0,9,0,0,2,13,10,0.9010989010989011,0.0,0.0,0.10588235294117647,23.68421052631579,1,brute_force
0.213.189.203,2013-12-14 19:50:00,2013-12-14 19:50:45,2013-12-14 19:51:15,0,12,2,0,0,0,0,1,0,2,1.0,0.0,0.0,0.0,12.0,1,brute_force
0.213.189.203,2013-12-14 20:40:00,2013-12-14 20:45:43,2013-12-14 20:48:05,4,7,1,0,5,0,0,2,2,5,0.5833333333333334,0.0,0.0,0.5555555555555556,4.647887323943662,0,low_activity
0.213.189.203,2013-12-14 20:50:00,2013-12-14 20:50:17,2013-12-14 20:51:08,4,16,2,0,4,0,0,2,2,6,0.8,0.0,0.0,0.21052631578947367,20.0,1,brute_force
0.213.189.204,2013-11-26 02:50:00,2013-11-26 02:51:29,2013-11-26 02:55:32,8,166,16,0,9,0,0,2,13,22,0.9485714285714286,0.0,0.0,0.04918032786885246,42.96296296296296,1,brute_force
0.213.189.204,2013-12-15 00:20:00,2013-12-15 00:29:32,2013-12-15 00:29:59,0,11,2,0,0,0,0,1,0,2,1.0,0.0,0.0,0.0,11.0,1,brute_force
0.213.189.204,2013-12-15 00:30:00,2013-12-15 00:30:01,2013-12-15 00:30:26,0,10,2,0,1,0,0,1,0,3,0.9090909090909091,0.0,0.0,0.07692307692307693,10.0,1,brute_force
0.213.189.204,2013-12-15 01:20:00,2013-12-15 01:24:31,2013-12-15 01:29:59,8,31,5,0,9,0,0,2,2,13,0.775,0.0,0.0,0.24324324324324326,7.134146341463414,1,brute_force
0.213.189.204,2013-12-15 01:30:00,2013-12-15 01:30:01,2013-12-15 01:32:31,0,60,11,0,0,0,0,1,0,11,1.0,0.0,0.0,0.0,24.0,1,brute_force
0.213.240.65,2013-12-03 02:10:00,2013-12-03 02:19:09,2013-12-03 02:19:58,2,35,1,0,0,0,0,2,18,3,1.0,0.0,0.0,0.0,37.0,1,brute_force
0.213.240.65,2013-12-03 02:20:00,2013-12-03 02:20:00,2013-12-03 02:27:07,25,582,15,0,3,0,0,2,145,42,0.9948717948717949,0.0,0.0,0.005016722408026756,85.29274004683842,1,brute_force+connection_burst
0.213.241.95,2013-11-25 12:40:00,2013-11-25 12:41:27,2013-11-25 12:41:33,1,3,1,0,2,0,0,2,2,2,0.6,0.0,0.0,0.4,4.0,0,low_activity
0.213.60.125,2013-11-18 14:10:00,2013-11-18 14:18:38,2013-11-18 14:18:38,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
0.213.60.125,2013-12-01 12:30:00,2013-12-01 12:34:47,2013-12-01 12:34:47,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,low_activity
0.213.60.125,2013-12-02 17:20:00,2013-12-02 17:29:13,2013-12-02 17:29:13,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
0.218.242.136,2013-12-12 07:50:00,2013-12-12 07:58:19,2013-12-12 07:58:19,0,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0,low_activity
0.218.242.136,2013-12-12 14:20:00,2013-12-12 14:27:25,2013-12-12 14:27:25,0,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0,low_activity
0.5.201.113,2013-12-09 04:30:00,2013-12-09 04:37:42,2013-12-09 04:39:56,5,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,2.2388059701492535,0,low_activity
0.5.201.113,2013-12-09 04:40:00,2013-12-09 04:41:30,2013-12-09 04:42:14,4,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,4.0,0,low_activity
0.53.248.171,2013-12-22 15:50:00,2013-12-22 15:55:15,2013-12-22 15:56:24,0,15,5,0,1,0,0,1,0,6,0.9375,0.0,0.0,0.047619047619047616,13.043478260869566,1,brute_force
0.53.248.171,2013-12-24 09:00:00,2013-12-24 09:06:30,2013-12-24 09:07:08,0,12,4,0,0,0,0,1,0,4,1.0,0.0,0.0,0.0,12.0,1,brute_force
0.53.248.171,2013-12-24 10:00:00,2013-12-24 10:06:29,2013-12-24 10:06:52,3,6,0,0,1,0,0,1,7,3,0.8571428571428571,0.0,0.0,0.14285714285714285,9.0,0,low_activity
0.53.248.171,2013-12-24 14:30:00,2013-12-24 14:31:46,2013-12-24 14:32:17,3,6,0,0,1,0,0,1,7,3,0.8571428571428571,0.0,0.0,0.14285714285714285,9.0,0,low_activity
0.53.248.171,2013-12-24 15:30:00,2013-12-24 15:39:14,2013-12-24 15:39:52,2,4,0,0,0,0,0,1,4,2,1.0,0.0,0.0,0.0,6.0,0,low_activity
0.53.248.171,2013-12-24 15:40:00,2013-12-24 15:40:03,2013-12-24 15:40:12,1,2,0,0,1,0,0,1,3,2,0.6666666666666666,0.0,0.0,0.3333333333333333,3.0,0,low_activity
0.53.248.171,2013-12-25 09:00:00,2013-12-25 09:06:36,2013-12-25 09:07:30,0,16,6,0,1,0,0,1,0,6,0.9411764705882353,0.0,0.0,0.043478260869565216,16.0,1,brute_force
0.53.248.171,2013-12-25 10:00:00,2013-12-25 10:06:31,2013-12-25 10:06:39,1,3,0,0,0,0,0,1,3,1,1.0,0.0,0.0,0.0,4.0,0,low_activity
0.53.248.184,2013-12-16 16:20:00,2013-12-16 16:22:46,2013-12-16 16:24:52,0,45,15,0,0,0,0,1,0,15,1.0,0.0,0.0,0.0,21.428571428571427,1,brute_force
0.53.248.184,2013-12-16 17:10:00,2013-12-16 17:17:38,2013-12-16 17:19:47,5,7,0,0,4,0,0,2,8,6,0.6363636363636364,0.0,0.0,0.5,5.5813953488372094,0,low_activity
0.53.248.184,2013-12-16 17:20:00,2013-12-16 17:22:44,2013-12-16 17:22:59,6,13,0,0,2,0,0,1,8,6,0.8666666666666667,0.0,0.0,0.14285714285714285,19.0,1,brute_force
0.53.248.184,2013-12-18 19:30:00,2013-12-18 19:32:54,2013-12-18 19:34:54,0,40,14,0,1,0,0,1,0,14,0.975609756097561,0.0,0.0,0.01818181818181818,20.0,1,brute_force
0.53.248.184,2013-12-18 20:20:00,2013-12-18 20:27:36,2013-12-18 20:29:44,17,43,1,0,4,0,0,2,39,18,0.9148936170212766,0.0,0.0,0.08888888888888889,28.125,1,brute_force+connection_burst
